data;

param N=8;	# first index, nombre d'individus
param Nm=4; 			# nombre d'individus mâles
param Nf=4;				# nombre d'individus femelles
param P=1;	# second index, nombre de paire de chromosomes
param G=5;	# third index, locus (1e coordonnée du gène dans le chromosome)
param C=2;	# fourth index, 1er ou 2e chromosome (2e coordonnée du gène dans le chromosome)
param T=50;
#param init=0.001;
		
param individu :=
# nÂ° individu, nÂ° paire de chromosomes, locus, 1er ou 2Ã¨me chromosome? nÂ° allele
# 1 pour l'allÃ¨le nÂ°1 (majuscule) et 2 pour l'allÃ¨le nÂ°2 (minuscule)

1 1 1 1 2
1 1 1 2 1
1 1 2 1 1
1 1 2 2 1
1 1 3 1 2
1 1 3 2 1
1 1 4 1 2
1 1 4 2 1
1 1 5 1 1
1 1 5 2 2

2 1 1 1 2
2 1 1 2 2
2 1 2 1 2
2 1 2 2 1
2 1 3 1 1
2 1 3 2 2
2 1 4 1 1
2 1 4 2 2
2 1 5 1 1
2 1 5 2 1

3 1 1 1 2
3 1 1 2 2
3 1 2 1 2
3 1 2 2 1
3 1 3 1 2
3 1 3 2 1
3 1 4 1 1
3 1 4 2 2
3 1 5 1 1
3 1 5 2 2

4 1 1 1 2
4 1 1 2 2
4 1 2 1 1
4 1 2 2 1
4 1 3 1 1
4 1 3 2 2
4 1 4 1 2
4 1 4 2 2
4 1 5 1 2
4 1 5 2 2

5 1 1 1 2
5 1 1 2 1
5 1 2 1 1
5 1 2 2 1
5 1 3 1 1
5 1 3 2 1
5 1 4 1 2
5 1 4 2 2
5 1 5 1 1
5 1 5 2 2

6 1 1 1 1
6 1 1 2 2
6 1 2 1 1
6 1 2 2 1
6 1 3 1 2
6 1 3 2 2
6 1 4 1 2
6 1 4 2 1
6 1 5 1 2
6 1 5 2 1

7 1 1 1 1
7 1 1 2 1
7 1 2 1 1
7 1 2 2 1
7 1 3 1 2
7 1 3 2 2
7 1 4 1 1
7 1 4 2 1
7 1 5 1 1
7 1 5 2 1

8 1 1 1 2
8 1 1 2 2
8 1 2 1 1
8 1 2 2 1
8 1 3 1 2
8 1 3 2 2
8 1 4 1 2
8 1 4 2 1
8 1 5 1 2
8 1 5 2 1

